,Titre,Description,Détail des conditions,Résumé horaires,Adresse
0,La philo à l'écran HORS-LES-MURS φ J'ai perdu mon corps,"Projection gratuite pour un public collégien, lycéen et adulte. Suivie d'une conversation philosophique guidée",Entrée gratuite sur réservation en ligne indispensable,"Dimanche 28 janvier, 18h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
1,Groupe de parole climat,Un groupe de parole pour parler des enjeux climatiques animé par Julien des Capitalistes Anonymes.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Mercredi 7 février, 18h45",54 rue d'Erevan 92130 Issy-les-Moulineaux
2,5 Hectares,"MERCREDI 03  : 20h30 
VENDREDI 05 : 20h30 
SAMEDI 06     : 18H00  et 21h00  
DIMANCHE 07 : 14h00 - 16h30 et 19h00 
LUNDI 08 : 20h30",,3 - 8 janvier,"11-13, rue Danton 92130 Issy-les-Moulineaux"
3,Soirée Jeux de Société Famille,De 18h30 à 20h30 : soirée jeux tout public à l'ELMA : vive les dragons de bois !,"Entrée libre, gratuite pour les adhérents, 2.20 € pour les non-adhérents","Vendredi 19 janvier, 18h30","15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
4,Pas de fraise à Noël - ISSY-LES-MOULINEAUX,"Bien manger de saison et sans générer de gaspillage, fais le plein d'idées, en toute convivialité !",Atelier gratuit en accès libre.,"Samedi 16 décembre, 15h00",54 rue d'Erevan
5,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 30 décembre, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
6,Atelier peinture en duo,"Partagez un moment créatif unique avec votre enfant (entre 6 ans et 12 ans) lors d'un atelier animé par Muriel, artiste plasticienne.",Atelier payant sur inscription et adhésion nécessaire pour participer à cet atelier.,"Mercredi 22 novembre, 14h00",54 rue d'Erevan 92130 Issy-les-Moulineaux
7,"Parenthèse enchantée, Anaïs Brunet",Exposition.,Entrée libre.,5 décembre 2023 - 3 mars 2024,"2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
8,Concert de l'ensemble néoclassique de Téhéran,Mélodies oubliée de l'Empire Perse,sur inscription,"Mardi 15 mai 2018, 20h00","13 Rue Danton, 92130, Issy les Moulineaux"
9,Le premier anniversaire des Halles d'Issy !,"Venez célébrer l'anniversaire des Halles d'Issy. Pour fêter cela, deux jours de festivités et d'animations gastronomiques sont organisés le vendredi 10 et samedi 11 novembre.",Entrée libre,10 - 12 novembre,1 Rue Rouget de Lisle 92130 Issy-les-Moulineaux
10,Atelier de création de cartes à jouer sportives,"Atelier de création de cartes à jouer sportives, avec Cartooneo, éditeur de jeux de 7 familles personnalisés.",entrée libre,"Samedi 16 septembre, 14h00",16 rue Auguste-Gervais 92130 Issy-les-Moulineaux
11,Atelier MAO & IA,Atelier portant sur la création musicale assistée par ordinateur et intelligence artificielle,"Sur inscriptions en ligne ou sur place, gratuit","Dimanche 19 novembre, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
12,Spectacle : Annie Cherry and the dinosaur,"Spectacle en anglais, en famille, dès 4 ans",Sur inscription,"Dimanche 17 mars 2024, 11h00","28, esplanade de la manufacture 92120 Issy-les-Moulineaux"
13,Spectacle : Les Audacieuses,"Théâtre, en famille, dès 6 ans",Sur inscription,"Samedi 25 novembre, 16h00",55 rue Pierre Poli
14,À l'art découverte,Le Musée Numérique présente son atelier,Sur inscription,"Mercredi 6 décembre, 15h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
15,"Atelier vélo : diagnostic et petite réparation, marquage","Venez faire diagnostiquer votre vélo, faire des petites réparations ou encore réaliser un marquage Bicycode sur votre vélo.","Atelier gratuit, seul le marquage (Bicycode) est payant et s'élève à 10 €.","Samedi 25 novembre, 10h00",48 rue d'erevan issy
16,"Claude Cahun, la quête d'un nouveau genre","Conférence par Séréna Eychenié, guide-conférencière.",Entrée libre dans la limite des places disponibles.,"Mercredi 10 janvier 2024, 12h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
17,LES TROIS MOUSQUETAIRES : D'ARTAGNAN,Séance spéciale,,6 - 12 décembre,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
18,Lecture à voix haute : Le Petit Prince,"Une lecture tout public, pour les petits, et les petits devenus grands. Dès 7 ans.",Entrée libre dans la limite des places disponibles et sur présentation d'un ticket. Les tickets sont à retirer 30 minutes avant le spectacle.,"Dimanche 18 février, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
19,"En janvier, ne manquez pas les nouvelles aventures de Polichinelle !","Tout au long de l'année, venez découvrir les nouvelles histoires de Polichinelle au parc Henri Barbusse. Retrouvez dans cet article la programmation des spectacles pour le mois de janvier.","A  partir de deux ans 3,50€ ou 8 places à 22€",6 - 28 janvier,"Parc Henri Barbusse, Issy-les-Moulineaux"
20,The fabelmans,Les incontournables,,"Dimanche 14 janvier, 20h15","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
21,Yannick,Les incontournables,,"Jeudi 11 janvier, 16h40, 18h30","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
22,Urban Trail : retrait des dossards,"Venez retirer vos dossards pour l’Urban Trail, vendredi 2 et samedi 3 février à la Cité des Sports.",,2 et 3 février,"92 rue du Gouverneur Général Eboué, Issy-les-Moulineaux"
23,Stage de natation à partir de 5 ans,Stage de natation à la piscine Alfred Sevestre pendant les vacances de printemps,"88,30€* par enfant résident, sur inscription, sous réserve de places disponibles, Certificat médical obligatoire.",24 avril - 5 mai,140-144 promenade du Verger 92130
24,Groupe de Parole : Climat et Sobriété,Venez rencontrer d'autres personnes et discutez des enjeux environnementaux. Tout public.,sur inscription,"Mercredi 25 janvier, 18h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
25,Fête de la rue Charlot,Des animations variées sont proposées pour tous les âges !,Entrée libre.,"Samedi 10 septembre 2022, 15h00",rue charlot 92130 issy les moulineaux
26,Information collective - Etre conseiller/ère à POLE EMPLOI,Information collective - Etre conseiller/ère à POLE EMPLOI,,"Mardi 6 février, 14h00",92130 Issy-les-Moulineaux
27,Nouveau concert SING FOR A CAUSE par l'association Go Jazz,Venez assistez au nouveau concert de l'association Go Jazz sur des thèmes engagés le mardi 27 juin !,,"Mardi 27 juin, 20h30","11 rue Danton, 92130 Issy-les-Moulineaux"
28,ADECA - Fête de la musique - Le Réacteur,42ème édition de la Fête de la musique !,Entrée libre,"Mercredi 21 juin, 19h50","Allée Sainte Lucie, 92130 Issy-les-Moulineaux"
29,NOUVEAU Atelier de e-sport pour la prochaine saison !,Le Temps des Cerises inaugure un nouvel atelier consacré au e-sport !,Entrée libre,15 - 20 juin,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
30,SCÈNE OUVERTE,173 ième scène ouverte du Réacteur et dernière de la saison !,Entrée Libre,"Mardi 11 juillet, 18h00",11 Promenade Cœur de Ville
31,ENTRETIEN D'ISSY : Penser l’Autre pour de bon : réflexions sur l’altérité extra-terrestre par Thibaut GRESS,Cette conférence annule et remplace la rencontre prévue avec Claire MARIN.,,"Jeudi 9 novembre, 20h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
32,ATELIERS DECOUVERTE GRATUITS,3 ateliers gratuits de découverte pour adultes,Inscriptions avant le 6 septembre -10 places par atelier,"Samedi 9 septembre, 09h30, 14h00, 17h00",15 Rue Auguste Gervais 92130 Issy Les Moulineaux
33,"Exposition Alaska, histoires sauvages",Gratuit,,22 juin - 27 juillet,"60 rue du Général Leclerc, Issy-les-Moulineaux"
34,Couds ton sac à vrac pour la rentrée - niveau débutant,Viens apprendre à coudre ton propre sac à vrac pour préparer ta rentrée !,Entrée sur inscription,"Vendredi 15 septembre, 18h00",54 rue d'Erevan 92130 Issy-les-Moulineaux
35,Cabaret poétique : Danser dans les cages,Entrée libre sur inscription,Entrée libre sur réservation,"Samedi 23 septembre, 18h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
36,Téléthon,Les jeunes se mobilisent pour le Téléthon,entrée libre,16 et 17 décembre,place de la Mairie 92130 Issy-les-Moulineaux
37,TOYBLOÏD ● A VOID ● PYTHIES // Le Réacteur,"Le Réacteur présente TOYBLOÏD, A VOID et PYTHIES vendredi 8 décembre 2023 à l'Espace Icare !",10/12€ en prévente - 13/15€ sur place,"Vendredi 8 décembre, 19h30","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
38,"Jean Anguera ""Archipel"", visite commentée",Visite commentée de l’exposition.,Entrée libre,"Mardi 5 décembre, 18h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
39,Après-midi organisé par Historim autour de l’usine Gévelot : conférence sur l’histoire de l’usine par Félix Torrès,"Au Musée, l’historien Félix Torrès et plusieurs témoins, évoqueront la cartoucherie Gévelot (1825-1992) dont l’histoire a marqué de façon importante celle de la ville.",,"Dimanche 17 septembre, 15h00",16 rue Auguste-Gervais 92130 Issy-les-Moulineaux
40,Visite de l'hôpital et du patrimoine architectural,Visite de l'hôpital et du patrimoine architectural,Sur inscription à Issy Tourisme,"Dimanche 17 septembre, 10h30",4 parvis Corentin-Celton 92130 Issy-les-Moulineaux
41,Conversation en anglais,Venez discuter avec d'autres personnes en anglais autour d'un café/thé. Un atelier pour entretenir ou faire progresser votre anglais !,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Jeudi 7 décembre, 10h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
42,LES TROLLS 3,Avant Première,,22 - 26 novembre,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
43,La bataille géante de boules de neige,"Gratuit, sur inscription, à partir de 6 ans",,"Samedi 9 décembre, 17h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
44,Thé Ciné HORS-LES-MURS ★ Yeelen,"Ciné-club, en semaine, en après-midi à la Maison de Quartier des Épinettes",Entrée libre dans la limite des places disponibles (réservation conseillée).,"Vendredi 8 décembre, 14h30","Impasse des quatre vents, 92130 Issy-les-Moulineaux"
45,Atelier de codage et de programmation robotique,A partir de 6 ans.,GRATUIT,"Samedi 16 décembre, 14h00","11, Promenade coeur de ville, Issy-les-Moulineaux"
46,A l'art Découverte,Découvrez et expérimentez un courant artistique,Sur inscription,"Mercredi 15 février, 15h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
47,Le romantisme français,Concert par les élèves et professeurs du Conservatoire Issy-Vanves et le chœur CHORIM,Entrée libre,"Mardi 7 février, 20h00",11-13 rue Danton 92130 Issy-les -Moulineaux
48,IMAGINONS LES DROITS DE L'ENFANT,IMAGINONS LES DROITS DE L'ENFANT,,"Samedi 14 novembre 2015, 11h00","20, Cours Saint Vincent, Issy-les-Moulineaux"
49,EDEN DILLINGER X BAKARI X 4 SANG ● Flash Tattoo X Expo // Le Réacteur,Le Réacteur et 4 Sang choisissent de mélanger les arts et de proposer un événement transversal samedi 14 mai à l'Espace Icare !,12€ en prévente / 15€ sur place,"Samedi 14 mai, 14h00",11/13 rue Danton 92130 Issy les Moulineaux
50,ENSEMBLE DE FLÛTES  - Fête de la musique - Le Réacteur,"41 ième édition de la Fête de la Musique. Chacun cherche sa voix !!
Après deux années marquées par les restrictions sanitaires, voici la plus belle occasion pour se retrouver et fêter l'été en musique",Entrée libre,"Mardi 21 juin, 19h30","11 rue Danton, 92130 Issy-les-Moulineaux"
51,"""Carole et Delphine, insoumuses"" (70') de Callisto Mc Nulty","À travers l'amitié entre l'actrice Delphine Seyrig et la vidéaste Carole Roussopoulos, leurs luttes et leurs images subversives, un hommage vibrant au féminisme « enchanté » des années 1970.",,"Mercredi 17 avril 2019, 22h30",Issy-les-Moulineaux
52,"""Tu seras mère ma fille"" (90') de Camille Ménager et Bruno Joucla",Un siècle d’Histoire de la maternité racontée par Cécile de France.,,"Vendredi 20 mars 2020, 02h00","10, rue Horace Vernet; 92785 Issy-les-Moulineaux"
53,Atelier photos,Initiation à la photographie avec l'association REFLEXE PHOTO,Gratuit sur inscription,"Dimanche 12 juin 2016, 14h00",90-98 Promenade du Verger au Fort d'Issy 92130 Issy-les-Moulineaux
54,"Leaders Meetup d'Inès Pauly et Christophe Rebours : L’expérience, le nouveau moteur de l’entreprise","« Voici venir l’entreprise du futur, fondée sur ce qu’elle a de plus riche : les expériences qu’elle crée dans notre vie de tous les jours »",Entrée libre sur inscription,"Mardi 13 décembre 2016, 12h00",41-43 rue Camille Desmoulins à Issy-les-Moulineaux
55,Atelier robotique,Assistez à un atelier animé par des artistes.,Tarif adhérent : 10€  Tarif non-adhérent : 15€,"Samedi 26 janvier 2019, 14h00",20 cours saint vincent
56,H3 Hitema - Journées Portes Ouvertes,"L'école des hautes études informatiques, H3 HITEMA, propose une journée portes ouvertes pour en savoir plus sur ses formations.",Renseignement et Inscription en cliquant sur le lien,"Samedi 23 janvier 2021, 10h00","48, Rue Camille Desmoulins, issy-les-moulineaux"
57,"Webinaire : Frogans, l'arrivée d'un nouveau standard d'expression Internet","Découvrez en avant-première Frogans, un nouveau standard d’expression Internet. Une nouvelle frontière ouverte par un projet conçu et développé en France avec le soutien d'Isséens",Sur inscription,"Mercredi 12 janvier, 18h00",issy-les-moulineaux
58,Twinkle,Compagnie Lunatic - Cécile Mont-Reynaud,,16 et 17 novembre 2019,"90-98, Promenade du Verger au Fort d'Issy"
59,"Sonic, le film",Retrouvez le héros de jeu vidéo,,"Mercredi 18 mars 2020, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
60,ANNULE - Film : Petit pays,D'après le roman de Gaël Faye,,25 - 30 mars 2020,"11-13, rue Danton 92130 Issy-les-Moulineaux"
61,Sylvain Cathala Trio - Création,Création au Festival Jazz au Cour et Guitare à l'Ame,,"Vendredi 28 juin 2019, 20h00","45 Rue de l'Égalité Issy-les-Moulineaux, France"
62,"ANNULE - Biennale ""Ecris-moi une musique"" - Conférence en hommage à Charlie Parker","Hommage à Charlie Parker, précurseur du bip bop, autour d'une conférence animée par le pianiste de jazz Philippe Baudoin",Entrée libre,"Mercredi 18 mars 2020, 17h00","11-13 rue Danton, 92130 Issy-les-Moulineaux"
63,FUNK EXPERIENCE UNIT,Venez découvrir sur scène les groupes issus du Réacteur pour cette journée dédiée à toutes les musiques,Entrée libre,"Vendredi 21 juin 2019, 21h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
64,IMPERIAL PIGEONS,Venez découvrir sur scène les groupes issus du Réacteur pour cette journée dédiée à toutes les musiques,Entrée libre,"Vendredi 21 juin 2019, 20h10",issy-les-moulineaux
65,Lagoa Azul - Capoiera,"Les associations isséennes vous présentent leurs travaux d’une année. Danse ou musique, c’est le partage qui est au coeur de cette scène artistique amateur et passionnée",Entrée libre,"Jeudi 20 juin 2019, 18h30","Place Paul Vaillant Couturier, 92130"
66,Stage vacances octobre 2020,pour les ados,,20 - 23 octobre 2020,"20 cours Saint-Vincent, 92130 Issy-les-Moulineaux"
67,Festival en Chair et en son,Motus (Olivier Lamarche et Nathanaëlle Raboisson) et les compositeurs sur acousmonium,cession tarif plein : 16 € tarif réduit : 12€ ; jour tarif plein : 25 € réduit : 20 ; 3 jours tarif plein : 60 € tarif réduit : 45 €,6 - 8 octobre 2016,"20, Cours Saint Vincent - 92130 Issy-les-Moulineaux"
68,Sortie loisirs : Atelier du chocolat,Sortie pour les collégiens de 11 à 15 ans sur inscription en ligne,"Inscription sur Téliss, programme en ligne, tarif en fonction du taux d'effort","Mercredi 29 janvier 2020, 15h30","33 rue du docteur Lombard, 92130 Issy-les-Moulineaux"
69,"""La Demoiselle de Santos-Dumont""","Exposition d’une réplique de l’aéroplane ""la Demoiselle de Santos-Dumont"" par l’Association Aérorétro (Albon).",,17 et 18 septembre 2016,"16, rue Auguste-Gervais, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine"
70,Exposition : A Shaded Path,Au Seuil de l'Eté,"Entrée libre, sur réservation, tél 01 41 23 82 82",4 - 28 juillet 2018,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
71,Groupe de parole SAB92 (par zoom),atelier,information auprès de SAB92,"Samedi 13 février 2021, 14h00","60, rue du Général Leclerc 92130 Issy-Les-Moulineaux"
72,LA ZOY / Les Rendez-vous du Réacteur,#EnsembleALaMaison,,"Jeudi 16 avril 2020, 19h00",31 bis rue aristide Briand 92130 issy-Les-Moulineaux
73,REOUVERTURE DES STUDIOS DE REPETITION,"LE REACTEUR, le lieu du Rock et de toutes les musiques du monde ouvre à nouveau ses portes pour les artistes des musiques actuelles.",https://www.lereacteur.fr/repeter/,19 mai - 28 juillet 2021,31 bis rue aristide Briand 92130 issy-Les-Moulineaux
74,"Comédie musicale ""On s'était dit""","Une bande copains quitte le lycée et se donne rendez-vous dix ans plus tard au café ""Chez Laurette"", leur QG de l'époque.",Sur réservation,"Mercredi 19 octobre 2016, 20h30",11-13 rue Danton / Mail Raymond Menand  92130 Issy-les-Moulineaux
75,Le vélo à l'honneur pour la semaine de la mobilité,"Initiation à la sécurité routière pour les 6-10 ans, quizz, jeux, animations ""vélo-smoothier"", ateliers de réparation de vélos par des professionnels.",,"Mercredi 21 septembre 2016, 14h30","Allée Sainte Lucie, 92130 Issy-les-Moulineaux"
76,"Comédie musicale ""On s'était dit""","Une bande copains quitte le lycée et se donne rendez-vous dix ans plus tard au café ""Chez Laurette"", leur QG de l'époque.",Sur réservation,"Jeudi 20 octobre 2016, 20h30",11-13 rue Danton / Mail Raymond Menand  92130 Issy-les-Moulineaux
77,"Atelier d'écriture ""Expoésie""",L'atelier permet à chacun d’affiner son style et de partager ses impressions dans un cadre de confiance.,Inscription par mail,"Lundi 17 octobre 2016, 15h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
78,Info-portage des bébés,"Cet atelier de l'association A3N est animé par Fleur-Anne Serre, monitrice de portage. Présentation du portage à bras et des matériels de portage, physiologie et bienfaits, conditions de sécurité...",Sur inscription. NB : ceci n'est pas un atelier pour apprendre des nouages !,"Lundi 7 novembre 2016, 10h00","10 rue Henri Mayer, 92130 Issy-les-Moulineaux"
79,"Réunion d'information ""Mode de vie Zéro Déchets""","Devant le succès de la démarche en vue de réduire la production de nos déchets, l'association Un Quotidien Plus Vert vous invite à une réunion.",Entrée libre sur inscriptions,"Lundi 21 novembre 2016, 20h30","Impasse des quatre vents, 92130 Issy-les-moulineaux"
80,Entretiens d'Issy : les spécificités de l'enseignement en France,La France possède  certaines particularités uniques au monde en matière d'éducation : quelles sont-elles ?,Entrée libre sur réservation,"Jeudi 27 avril 2017, 20h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
81,Collecte solidaire parvis Corentin Celton,Apportez vos appareils électriques en état de marche ou hors d'usage. Des camions Emmaüs vous attendent pour recueillir vos dons.,,"Samedi 17 septembre 2016, 10h00","Parvis Corentin Celton, 92130 Issy-les-Moulineaux"
82,Fête d'Automne des villages du Fort et des Hauts d'Issy,Repas de quartier avec apéritif offert.,"Entrée libre pour l'apéritif, réservations au restaurant pour le repas 22€.","Jeudi 17 novembre 2016, 18h30","1 esplanade du Belvédère, 92130 Issy-les-Moulineaux"
83,Expositions Le pinceau à la rencontre du printemps et Armures de paix,Expositions et vernissages,Entrée libre,1 février - 4 mars 2017,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
84,Présentation de SciFhaïkus écrits par les élèves de CM1A de l'école des Epinettes,Les SciFhaïkus sont des haïkus de science-fiction,Entrée libre,"Lundi 27 février 2017, 14h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
85,"Jets de poèmes, dans le vif de Fukushima",Témoignage par les écrits à vif lors de la catastrophe de Fukushima du poète Ryôichi Wagô,Entrée libre sur réservation préalable par mail,"Samedi 4 février 2017, 18h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
86,"Rencontre-débat A3N avec Alice Kibé-Crenn, psychologue et sophrologue",Tout sur le sommeil de votre bébé !,Sur inscription,"Samedi 4 février 2017, 10h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
87,Rando famille & Poussettes,Randonnée promenade à travers Issy-les-Moulineaux en famille avec ou sans enfants.,"Gratuit, merci d'informer l'association de votre présence.","Samedi 11 février 2017, 13h30","Parvis Corentin Celton, 92130 Issy-les-Moulineaux"
88,Stress au travail,Conférence-débat à l'occasion de la 28ème édition des Semaines d'Information sur la Santé Mentale,Sur réservation par mail à l'Espace Andrée Chedid,"Mercredi 15 mars 2017, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
89,LES CAFES ET RESTAURANTS FONT LEUR SHOW A ISSY,Fête de la musique dans les cafés et restaurants isséens,entrée,"Mardi 21 juin 2016, 18h30, 19h30, 20h30, 21h30, 23h00",92130 ISSY-LES-MOULINEAUX
90,Le Monde de Prévert,Plaisir de lire,"Entrée libre, sur réservation","Samedi 24 juin 2017, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
91,"Cinéma : ""La Belle et la Bête""",L'adaptation du dessin animé !,,5 - 10 avril 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
92,,,,"Jeudi 27 avril 2017, 19h00",15 rue Diderot 92130
93,Chasse aux œufs au parc Jean-Paul II,"Pour Pâques, le CLAVIM organise pour les enfants deux chasses aux œufs au parc Henri Barbusse et au Parc Jean-Paul II.",,"Dimanche 16 avril 2017, 09h30",Rue Minard
94,Rencontre à la librairie Chantelivre,"Une rencontre avec  Nathalie Helal et Laurent Petitguillaume autour de leur livre, Si c'est bon pour moi, j'aime ça, paru aux éditions du Chêne.",,"Vendredi 12 mai 2017, 18h00",32 avenue de la république 92130 Issy-les-Moulineaux
95,"Cinéma : ""Les gardiens de la galaxie 2""",Les aventures de l'équipe se poursuivent !,,"Mercredi 24 mai 2017, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
96,Conférence-débat A3N,"""Intimité du couple : quelle (r)évolution avec la naissance du bébé ?""",Sur réservation auprès d'A3N,"Mardi 16 mai 2017, 20h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
97,Signature de Gérard Filoche et Patrick Raynal à la librairie Gutenberg !,"Venez rencontrer Gérard Filoche et Patrick Raynal, qui signent un thriller à quatre mains : ""Cérium"", publié au Cherche Midi.",Entrée libre,"Samedi 20 mai 2017, 16h00","17 boulevard Voltaire, 92130 Issy-les-Moulineaux"
98,L'équipe de France de bridge rencontre de jeunes isséens,Venez les regarder jouer !,Entrée libre,"Vendredi 3 mars 2017, 14h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
99,Aquazena Events Fitness,L'evenement fitness de la piscine  Aquazena à ne pas manquer !,Inscription obligatoire pour chaque cours à l'accueil de la piscine ou par mail,"Dimanche 25 juin 2017, 11h00","140-144 Promenade du Verger, 92130 Issy-les-Moulineaux"
100,Musique à la Poudrière,Les restaurants aussi participent !,,"Mercredi 21 juin 2017, 19h00","58 promenade du verger, 92130, Issy-les-Moulineaux"
101,Chant prénatal pour préparer l'accueil à la vie,"Dès que survient l'envie de chanter, pour un mieux-être et nouer une relation avec l'enfant à naître",entrée libre après inscription par mail dans la limite des places disponibles,30 juin et 7 juillet 2017,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
102,Cuisine et dépendances,La pièce d'Agnès Jaoui et Jean-Pierre Bacri est toujours aussi drôle !,Sur réservation,"Vendredi 16 mars 2018, 20h30","25 avenue Victor Cresson, 92130 Issy-les-Moulineaux"
103,Visites commentées d'une réplique réduite du Bouddha de Leshan,"Pour célébrer l’accord de partenariat signé en 2003 par Issy et Leshan, une réplique du célèbre Bouddha de Leshan de plus de deux mètres a été installée dans notre ville.",,16 et 17 septembre 2017,"Impasse des quatre vents, 92130"
104,Visite libre de l'église Saint-Etienne,"Implantés sur un site millénaire, plusieurs lieux de culte ont précédé l’église actuelle, élevée au XVIIe siècle.",Entrée libre,"Dimanche 17 septembre 2017, 14h00","Place de l'église, 92130 Issy-les-Moulineaux"
105,"Atelier ""À la manière de Matisse""",Réalisation d'un vitrail et d'un jeu inspirés de l'oeuvre d'Henri Matisse,Entrée libre,16 et 17 septembre 2017,"16 rue Auguste Gervais, 92130, Issy-les-Moulineaux"
106,Portes ouvertes de l’Atelier Art et Partage,Venez découvrir les travaux des élèves!,,15 - 17 septembre 2017,"16 rue de l'Abbé Derry, 92130 Issy-les-Moulineaux"
107,Les trésors de Dongcheng,Des arts chinois pluriséculaires à Issy,Entrée Libre,18 - 20 septembre 2017,"62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
108,Mon Olympe,"""Non mais ce n'est pas grave ce que je fais... Je pratique le féminisme !""",Tarifs : 12€ / 14€,11 et 12 octobre 2017,"31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
109,"Autisme Asperger : reconnaître, comprendre et intervenir","Quelles sont les caractéristiques de l’autisme Asperger (ou syndrome d’Asperger), sa place et ses particularités dans les troubles du spectre autistique ?",Sur réservation,"Mardi 7 novembre 2017, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
110,1ère édition du Festival Issy t'anime,Le premier festival du film d'animation qui donne la parole aux jeunes de 6 à 14 ans !,,2 et 3 décembre 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
111,Episode de pollution aux particules jeudi 16 novembre,Airparif prévoit un épisode de pollution aux particules (PM 10). Le stationnement sera gratuit jeudi à Issy avec une carte de résident.,,"Jeudi 16 novembre 2017, 07h00","47 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
112,Festival Ludia - Prix de l’illustration de jeu de société,Un weekend exceptionnel dédié au Jeu et à ses illustrations,entrée libre et gratuite,18 et 19 novembre 2017,"18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
113,Soirée jeu de société,"Soirée dédiée aux jeux de société. A l'occasion des fêtes de fin d'année, la Ludothèque vous présentera ses nouvelles acquisitions.",Gratuit pour les adhérents - 2€ pour les non adhérents,"Samedi 2 décembre 2017, 20h30","18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
114,"Rencontre allaitement maternel A3N avec Margaret Dickason-Clar, consultante en lactation",Cette rencontre proposée par l'association A3N vous donnera des informations sur la préparation et le soutien de votre allaitement.,Sur inscription,"Lundi 11 décembre 2017, 10h00","10 rue Henri Mayer, 92130 Issy-les-Moulineaux"
115,Cinéma : La promesse de l'aube,L'oeuvre magistrale de Romain Gary adaptée au cinéma avec Pierre Niney.,,3 - 8 janvier 2018,"11-13, rue Danton 92130 Issy-les-Moulineaux"
116,Exposition : Fragilités : «un parcours sur le fil »,"Seize artistes-plasticiens du collectif 3quatre5 explorent les Fragilités, une installation à découvrir  à l'espace Saint-Sauveur.",Entrée libre,20 décembre 2017 - 7 janvier 2018,"Allée de la Chapelle Saint-Sauveur, 92130 Issy-les-Moulineaux"
117,Famille Accueil Surdoués : Communication et intéractions de l'enfant à haut potentiel avec son environnement,La personalité d'un enfant,"Entrée libre, sur réservation, tél 01 41 23 82 82","Mardi 30 janvier 2018, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
118,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de janvier.,,"Dimanche 21 janvier 2018, 09h00",54 rue d'Erevan
119,Atelier manipulation,Atelier de découverte et de manipulation de tous types de matériaux,Gratuit pour les adhérents - 4€ l'entrée par personne pour les non-adhérents - Les moins de 4 ans doivent être accompagnés,9 - 13 janvier 2018,"18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
